epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
57,1508.04,0.91746,2.33147,0.16617,0.28667,0.03679,4.35318,0.91877,0.99812,0.97822,0.68358,0.86471,0.93994,0.94168,0.4358,1.1692,2.42207,0.18321,0.37635,0.05074,0,0.0008912,0.0008912,0.0008912
58,1533.62,0.91637,2.16219,0.16029,0.26153,0.03648,4.25744,1,0.99716,0.995,0.71697,0.9705,0.96775,0.95147,0.50408,0.98768,1.86178,0.17869,0.2663,0.04218,0,0.0008714,0.0008714,0.0008714
59,1559.13,0.85079,2.16432,0.15762,0.25492,0.03416,4.26953,0.99224,0.94118,0.99118,0.72057,0.96099,0.91176,0.94723,0.58548,0.98554,1.48608,0.16003,0.32746,0.04206,0,0.0008516,0.0008516,0.0008516
60,1585.33,0.89243,2.15104,0.16409,0.25968,0.0359,4.20119,0.91586,1,0.98807,0.67623,0.88885,0.97059,0.94148,0.55489,1.15129,1.60607,0.15089,0.32568,0.04983,0,0.0008318,0.0008318,0.0008318
61,1611.1,0.92866,2.05621,0.15964,0.26814,0.03728,3.90864,0.96479,0.97059,0.99161,0.7039,0.93535,0.94118,0.94532,0.61352,1.10915,1.426,0.15355,0.37606,0.04803,0,0.000812,0.000812,0.000812
62,1637.11,0.89419,1.88446,0.15471,0.28169,0.03571,3.83523,0.97037,1,0.99443,0.72523,0.97037,1,0.99443,0.58868,1.0271,1.59211,0.14543,0.27694,0.04386,0,0.0007922,0.0007922,0.0007922
63,1662.73,0.84723,1.94322,0.1562,0.26966,0.03352,3.87891,1,0.90353,0.98901,0.69472,1,0.90353,0.98901,0.57846,1.20938,1.57884,0.16131,0.36426,0.05317,0,0.0007724,0.0007724,0.0007724
64,1690.05,0.87894,1.93206,0.15156,0.26333,0.03624,4.01411,0.97077,1,0.99443,0.72957,0.97077,1,0.99443,0.54709,1.05927,1.75337,0.15691,0.30094,0.04532,0,0.0007526,0.0007526,0.0007526
65,1716.03,0.9148,1.89943,0.14799,0.27804,0.03671,3.79995,0.96757,1,0.99443,0.73909,0.96757,1,0.99443,0.60761,0.99297,1.52924,0.14208,0.32759,0.04232,0,0.0007328,0.0007328,0.0007328
66,1747.24,0.90799,2.05219,0.15452,0.27923,0.03653,4.01416,0.99233,0.97059,0.99389,0.69492,0.99233,0.97059,0.99389,0.62084,1.15876,1.42508,0.15049,0.31176,0.05053,0,0.000713,0.000713,0.000713
